table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Selected Age Groups by Sex for the United States: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,
Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,,,,,,,,,,
,,,,2020,,,2021,,,2022,,,2023,,,2024,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
Total,"331,515,736","164,221,426","167,294,310","331,577,720","164,243,648","167,334,072","332,099,760","164,443,697","167,656,063","334,017,321","165,335,932","168,681,389","336,806,231","166,706,095","170,100,136","340,110,988","168,337,882","171,773,106"
.Under 5 years,"19,402,780","9,919,936","9,482,844","19,294,289","9,863,371","9,430,918","18,852,206","9,638,924","9,213,282","18,710,954","9,561,484","9,149,470","18,632,397","9,518,688","9,113,709","18,599,314","9,501,043","9,098,271"
.5 to 9 years,"20,369,161","10,424,367","9,944,794","20,347,781","10,412,874","9,934,907","20,310,298","10,385,783","9,924,515","20,308,817","10,384,438","9,924,379","20,284,053","10,371,140","9,912,913","20,197,672","10,319,642","9,878,030"
.10 to 14 years,"21,752,139","11,137,536","10,614,603","21,697,125","11,110,579","10,586,546","21,467,309","10,998,343","10,468,966","21,196,255","10,858,115","10,338,140","20,943,661","10,723,279","10,220,382","20,901,154","10,701,148","10,200,006"
.15 to 19 years,"21,563,394","11,019,080","10,544,314","21,547,434","11,011,250","10,536,184","21,583,031","11,032,075","10,550,956","21,897,394","11,201,441","10,695,953","22,228,073","11,379,103","10,848,970","22,375,825","11,461,769","10,914,056"
.20 to 24 years,"21,478,372","10,952,361","10,526,011","21,479,997","10,951,879","10,528,118","21,550,515","10,986,668","10,563,847","21,746,610","11,090,066","10,656,544","22,043,447","11,249,749","10,793,698","22,421,936","11,451,815","10,970,121"
.25 to 29 years,"22,892,307","11,620,204","11,272,103","22,805,104","11,580,586","11,224,518","22,409,411","11,386,632","11,022,779","22,252,820","11,299,481","10,953,339","22,278,222","11,304,143","10,974,079","22,459,876","11,390,736","11,069,140"
.30 to 34 years,"22,824,358","11,550,753","11,273,605","22,878,453","11,573,651","11,304,802","23,117,775","11,681,024","11,436,751","23,471,714","11,852,898","11,618,816","23,770,395","12,009,251","11,761,144","23,993,988","12,127,715","11,866,273"
.35 to 39 years,"22,213,878","11,216,708","10,997,170","22,236,095","11,228,127","11,007,968","22,314,226","11,271,318","11,042,908","22,441,817","11,337,479","11,104,338","22,697,636","11,465,154","11,232,482","23,170,072","11,702,213","11,467,859"
.40 to 44 years,"20,571,688","10,316,966","10,254,722","20,673,585","10,370,561","10,303,024","21,113,321","10,597,422","10,515,899","21,554,385","10,827,504","10,726,881","22,015,321","11,066,810","10,948,511","22,369,152","11,253,735","11,115,417"
